,id,name,min_price,max_price,description,categories,tags
33,34,Tron Duo 800W Solar UPS Inverter HTD-1211/2011 (Single Battery),30499.00,35999.00,Buy Tron Duo 800W Solar UPS Inverter HTD-1211/2011 (Single Battery) with Super Quality At Al Fatah Electronics,"['Small Electronics', 'UPS']","['Overheat-Prevention', 'Long-Life', 'Energy-Saving']"
34,35,Tron Uno 800W UPS Inverter HTD-1205 (Single Battery),26499.00,31499.00,Buy Tron Uno 800W UPS Inverter HTD-1205 (Single Battery) with Super Quality At Al Fatah Electronics,"['Small Electronics', 'UPS']","['Double-Battery', 'High-Efficiency', 'Brand-Warranty']"
35,36,Joyroom 100W Type-C to C Fast Charging Data Cable S-CC100A12,1999.00,2999.00,"The Joyroom S-CC100A20 Braided USB-C Data & Charging Cable is a high-performance solution for fast charging and seamless data transfer. With a robust 100W output, 480Mbps transfer speed, and a durable braided design, this cable ensures reliability, efficiency, and longevity, making it ideal for everyday use with USB-C devices.","['Data Cables', 'Mobile Accessories']","['Fast-charging', 'USB-A-to-Type-C', 'Durable']"
36,37,Joyroom 20W Type-C To Lightning Cable 1.2m Transparent Nylon S-CL020A12,1199.00,2199.00,"The JOYROOM S-CL020A12 Type-C to Lightning 20W Data Cable supports 2.4A charging and 480Mbps data transfer. Made of PVC and nylon woven, it is 1.2 meters long and weighs 0.50 KGs. Suitable for Lightning devices, it comes in transparent nylon black.","['Data Cables', 'Mobile Accessories']","['Temperature-control', 'Aluminum-alloy', 'Brand-warranty']"
37,38,Joyroom 3A Series 1m Fast Charging Data Cable ( USB-A To Lightning ) SA26-AL3,599.00,799.00,"This 1m cable features a built-in smart chip for automatic voltage and temperature regulation. It uses thicker copper wire for higher conductivity, supports 3A current and 480Mbps transmission speed. Made from durable, skin-friendly PVC, it’s designed for safety, stability, and everyday use.","['Data Cables', 'Mobile Accessories']","['Fast-charging', 'Android', 'Durable']"
38,39,Joyroom 3A USB-A to Type-C Right Angle Fast Charging Data Cable  S-AC027A17,999.00,1499.00,"JOYROOM S-AC027A17 SmoothGame Series Right Angle Fast Charging Data Cable. USB-A to Type-C, supports 3A/2.4A charging, 480Mbps transmission speed. Made of aluminum alloy and braided nylon. Length: 1.2m, weight: 0.50 kg. Color: Black.","['Data Cables', 'Mobile Accessories']","['IOS', 'Aluminum-alloy', 'Brand-warranty']"
39,40,Joyroom Smoothgame Series 2.4a USB A to Lightning Rightangle Fast Charging Data Cable S-AL012A17,700.00,1100.00,"The Joyroom S-AL012A17 SmoothGame Series is a 1.2m USB-A to Lightning cable designed for charging and data transmission. It supports up to 3A charging and 480Mbps data speed. Built with durable aluminum alloy and braided nylon, it features an ergonomic right-angle connector for enhanced comfort.","['Data Cables', 'Mobile Accessories']","['Temperature-control', 'Fast-charging', 'Durable']"
40,41,Anex Toaster 2 Slice 3011,6500.00,7000.00,220-240V 50/60HZ 730-870W Wide mouth slot Electronic browning control Centre function High lift Bun warmer Defrost reheat cancel button Slide out crumb tray.,"['Small Electronics', 'Toaster']","['Electric-Toaster', '2-slices', 'Stainless-Steel']"
41,42,Black & Dacker B2 Electric Toaster T0800,10000.00,12000.00,"The BLACK+DECKER Electric Toaster Model TO800-B2 is a versatile 2-slice toaster designed for efficiency. It features extra-wide self-centering slots, 7 toast shade selections, a high-lift lever for safe retrieval, and functions for bagels and frozen bread. Made of stainless steel, it weighs 2.91 kg.","['Small Electronics', 'Toaster']","['Automatic-pop-up', 'Brand-Warranty', '4-slices']"
42,43,Black & Decker Electric Toaster TO800,12000.00,14000.00,Buy Black & Decker Electric Toaster TO800 With Best Price At Al Fatah Electronics,"['Small Electronics', 'Toaster']","['Small-and-portable', 'Energy-efficient', 'Durable']"
43,44,Geepas 4-Slice Bread Toaster GBT-9895,9500.00,12500.00,Buy Geepas 4-Slice Bread Toaster GBT-9895 With Best Price At Al Fatah Electronics,"['Small Electronics', 'Toaster']","['Fast-toasting', 'Compact', 'High-performance']"
44,45,Westpoint 2 Slice Pop-Up Toaster WF-2533,9000.00,11000.00,Buy Westpoint 2 Slice Pop-Up Toaster WF-2533 with Super Quality At Al Fatah Electronics.,"['Small Electronics', 'Toaster']","['User-friendly', 'Easy-clean', 'Adjustable-settings']"
45,46,3 in 1 Mini USB Rechargeable Vacuum Cleaner for Home and Office Use AS-228,2399.00,2799.00,"Wireless Handheld car and Household Powerful Three in one Vacuum Cleaner, Mini Portable Vacuum Cleaner, USB Cordless Handheld car Vacuum Cleaner, Rechargeable, Suitable for Cars, Homes, and Offices.","['Small Electronics', 'Vacuum Cleaner']","['Wireless-charging', 'Powerful-vacuum', 'Long-cord']"
46,47,Anex Deluxe Vacuum Cleaner AG-2097,20199.00,30199.00,Buy Anex Deluxe Vacuum Cleaner AG-2097 with Super Quality At Al Fatah Electronics.,"['Small Electronics', 'Vacuum Cleaner']","['Extension-wand', 'Removable-filter', 'Powerful-vacuum']"
47,48,Anex Vacuum Cleaner AG-2098,25750.00,30750.00,"Flexible hose. Extension metal tube. Blower function, Big dust bag capacity. Crevice nozzle, Round brush.","['Small Electronics', 'Vacuum Cleaner']","['Crevice-nozzle', 'Wireless-charging', 'Attachments']"
48,49,Kenwood 20L Drum Vaccum Cleaner VDM40 2000W,32899.00,35899.00,"Powerful performance 2000 Watt motor provides fantastic power for more effective cleaning . Extra large capacity drum (huge 20 litre capacity drum design enables you to clean for longer with fewer pit stops.Removable and Washable filter for easy clean without any delay. This vaccum gives Telescopic Tube for fast suction of dust, 8 meter long cord.","['Small Electronics', 'Vacuum Cleaner']","['Powerful-vacuum', 'Long-cord', 'Master-nozzle']"
49,50,Kenwood 20L Drum Vaccum Cleaner VDM60.000BR,34499.00,34944.00,"Equipped with a robust 2200 Watt motor, delivering exceptional power for highly effective cleaning.Features a massive 20-liter capacity, allowing for extended cleaning sessions with fewer interruptions for emptying.Designed to offer additional reach for cleaning larger areas without needing to switch power outlets frequently.Comes with a filter that can be easily removed and washed, ensuring long-term efficiency and convenience.","['Small Electronics', 'Vacuum Cleaner']","['Removable-filter', 'Crevice-nozzle', 'Wireless-charging']"
